"","term","estimate"
"1791","zRH",196.822933640937
"1792","log10Dref",2.48505252549824
"1793","zT",28.4772607520549
"1794","zRH",205.914675990302
"1795","log10Dref",2.35908799105178
"1796","zT",28.0244821615834
"1797","zRH",251.1589976784
"1798","log10Dref",2.45505300001893
"1799","zT",28.0184744073864
"1800","zRH",165.789050400517
"1801","log10Dref",2.28264901083906
"1802","zT",28.8812586823436
"1803","zRH",268.938488315086
"1804","log10Dref",2.44833869857746
"1805","zT",28.2043783010941
"1806","zRH",370.467172082103
"1807","log10Dref",2.43358471394485
"1808","zT",28.2549469153427
"1809","zRH",178.315535473336
"1810","log10Dref",2.47620477685183
"1811","zT",29.0717115366822
"1812","zRH",195.064133866851
"1813","log10Dref",2.3020166708424
"1814","zT",28.8590999283534
"1815","zRH",454.731130083459
"1816","log10Dref",2.40894702989968
"1817","zT",28.6630520326781
"1818","zRH",205.103595908852
"1819","log10Dref",2.19429552036696
"1820","zT",30.1538824244155
"1821","zRH",572.296460765479
"1822","log10Dref",2.28198102237698
"1823","zT",29.6207511882746
"1824","zRH",319.579645123287
"1825","log10Dref",2.33135749235748
"1826","zT",28.977244352931
"1827","zRH",364.55853432672
"1828","log10Dref",2.37585848212083
"1829","zT",28.7358887982149
"1830","zRH",251.906491933317
"1831","log10Dref",2.42616792085225
"1832","zT",28.7583076713616
"1833","zRH",230.568621388331
"1834","log10Dref",2.34872549512272
"1835","zT",28.3084538152843
"1836","zRH",231.596476389545
"1837","log10Dref",2.35825130491117
"1838","zT",28.7422908805836
"1839","zRH",296.667588415707
"1840","log10Dref",2.51479514939932
"1841","zT",27.8345907173487
"1842","zRH",215.061939971153
"1843","log10Dref",2.55671839053974
"1844","zT",28.001667202631
"1845","zRH",155.894545525353
"1846","log10Dref",2.20488346510584
"1847","zT",30.4928779475421
"1848","zRH",407.982802756019
"1849","log10Dref",2.47364115122122
"1850","zT",28.1213311293008
"1851","zRH",189.491731731703
"1852","log10Dref",2.42781074891483
"1853","zT",28.6229313775589
"1854","zRH",270.006560684932
"1855","log10Dref",2.32268538413531
"1856","zT",29.0434109486768
"1857","zRH",278.658985249687
"1858","log10Dref",2.40236828583057
"1859","zT",28.5945102264614
"1860","zRH",223.515935459879
"1861","log10Dref",2.35520661377187
"1862","zT",29.1797448655948
"1863","zRH",311.286863196073
"1864","log10Dref",2.29156407148906
"1865","zT",29.1918236754761
"1866","zRH",406.134816185949
"1867","log10Dref",2.31729874233419
"1868","zT",29.3379886246347
"1869","zRH",196.805158753437
"1870","log10Dref",2.3337027636641
"1871","zT",28.9982992119846
"1872","zRH",300.088686214924
"1873","log10Dref",2.29651155795864
"1874","zT",29.8226782363698
"1875","zRH",268.527447033962
"1876","log10Dref",2.38916206966952
"1877","zT",28.8260836567395
"1878","zRH",227.649056017955
"1879","log10Dref",2.31854141724852
"1880","zT",29.2654409835371
"1881","zRH",547.079580755542
"1882","log10Dref",2.31851590505991
"1883","zT",29.3671255331929
"1884","zRH",220.698939785534
"1885","log10Dref",2.45145279961965
"1886","zT",28.1969980894653
"1887","zRH",200.030265331043
"1888","log10Dref",2.1660494924674
"1889","zT",29.5069499990611
"1890","zRH",1591.84979737774
"1891","log10Dref",2.42541722868262
"1892","zT",28.0305090254522
"1893","zRH",208.422404387563
"1894","log10Dref",2.31075261823517
"1895","zT",29.2285695986944
"1896","zRH",404.578850070974
"1897","log10Dref",2.39925396934968
"1898","zT",28.7428752657799
"1899","zRH",359.371108410267
"1900","log10Dref",2.40681867674374
"1901","zT",28.7788096681091
"1902","zRH",175.787762989366
"1903","log10Dref",2.28187165931082
"1904","zT",29.0634719284489
"1905","zRH",300.734383512746
"1906","log10Dref",2.37149379885873
"1907","zT",28.7870963865789
"1908","zRH",248.652632267616
"1909","log10Dref",2.28549899958461
"1910","zT",29.5059671037152
"1911","zRH",311.503159902247
"1912","log10Dref",2.49959058561833
"1913","zT",28.4606267066012
"1914","zRH",157.082624660291
"1915","log10Dref",2.3004215091218
"1916","zT",28.9744396864035
"1917","zRH",294.683894075748
"1918","log10Dref",2.08468824318825
"1919","zT",30.4636455213226
"1920","zRH",1045.27657620988
"1921","log10Dref",2.31442480678319
"1922","zT",28.7839005484959
"1923","zRH",190.153783877631
"1924","log10Dref",2.49137720559714
"1925","zT",28.565928315825
"1926","zRH",204.583275644446
"1927","log10Dref",2.53398334862262
"1928","zT",28.3328046918546
"1929","zRH",204.030563868594
"1930","log10Dref",2.20156877812906
"1931","zT",30.8932812072519
"1932","zRH",358.955149196847
"1933","log10Dref",2.38262735266867
"1934","zT",28.826711052412
"1935","zRH",240.652296481989
"1936","log10Dref",2.27126920721061
"1937","zT",29.4132654146591
"1938","zRH",344.747277280894
"1939","log10Dref",2.43761957176191
"1940","zT",29.3145072510576
"1941","zRH",185.448428630107
"1942","log10Dref",2.3055114076935
"1943","zT",29.4488821475595
"1944","zRH",269.997936546584
"1945","log10Dref",2.30264131639851
"1946","zT",29.4954446335671
"1947","zRH",240.773751964325
"1948","log10Dref",2.26349962014074
"1949","zT",29.0359710162968
"1950","zRH",507.652599960172
"1951","log10Dref",2.42098371718228
"1952","zT",28.8987315833193
"1953","zRH",216.746952372939
"1954","log10Dref",2.5388608837594
"1955","zT",28.6753661287737
"1956","zRH",130.548144150914
"1957","log10Dref",2.36217003199695
"1958","zT",28.8751477295773
"1959","zRH",324.265425279881
"1960","log10Dref",2.46374005177383
"1961","zT",28.5967664599606
"1962","zRH",162.59488563925
"1963","log10Dref",2.38371121800894
"1964","zT",29.1389131393506
"1965","zRH",284.254750689107
"1966","log10Dref",2.38042414571146
"1967","zT",28.6648051204837
"1968","zRH",300.087387154446
"1969","log10Dref",2.24331991880375
"1970","zT",30.0543223217599
"1971","zRH",368.313863373807
"1972","log10Dref",2.23839661849265
"1973","zT",29.8719628673887
"1974","zRH",527.430396340888
"1975","log10Dref",2.33900708478309
"1976","zT",29.0823573394005
"1977","zRH",235.988082675973
"1978","log10Dref",2.41266642236314
"1979","zT",28.8157399933846
"1980","zRH",243.201489762211
"1981","log10Dref",2.39043476213959
"1982","zT",28.5824589685913
"1983","zRH",326.133043739564
"1984","log10Dref",2.30989803532285
"1985","zT",29.0729523512325
"1986","zRH",187.150088311421
"1987","log10Dref",2.56286467616236
"1988","zT",27.4862873154017
"1989","zRH",145.025985930046
"1990","log10Dref",2.34066612568673
"1991","zT",29.1185129089475
"1992","zRH",266.700153087164
"1993","log10Dref",2.44930332486412
"1994","zT",28.3607197165193
"1995","zRH",259.900950776426
"1996","log10Dref",2.43155961676702
"1997","zT",29.0034753858151
"1998","zRH",194.902525486536
"1999","log10Dref",2.28158239369257
"2000","zT",29.1632736733311
"2001","zRH",323.706263907336
"2002","log10Dref",2.39675384015786
"2003","zT",28.7118993024563
"2004","zRH",197.931005458788
"2005","log10Dref",2.34621985301493
"2006","zT",29.4991493284084
"2007","zRH",215.701509782699
"2008","log10Dref",2.44391135882978
"2009","zT",28.1158191686444
"2010","zRH",254.981788833314
"2011","log10Dref",2.31480738726354
"2012","zT",29.1357852770379
"2013","zRH",249.758312228534
"2014","log10Dref",2.40039871521729
"2015","zT",28.7710122776239
"2016","zRH",221.906933806008
"2017","log10Dref",2.31712472370818
"2018","zT",29.5989385913405
"2019","zRH",285.988435829827
"2020","log10Dref",2.17159499147863
"2021","zT",29.4674358563453
"2022","zRH",951.296797449015
"2023","log10Dref",2.33552631120016
"2024","zT",28.8912395889998
"2025","zRH",244.390971178208
"2026","log10Dref",2.32482880039925
"2027","zT",28.3908360838074
"2028","zRH",297.777490447761
"2029","log10Dref",2.27937943671299
"2030","zT",29.0183489049677
"2031","zRH",355.095027660062
"2032","log10Dref",2.23501549199064
"2033","zT",30.3251203760431
"2034","zRH",334.410371527618
"2035","log10Dref",2.26942508961503
"2036","zT",28.9057033782068
"2037","zRH",604.805507099239
"2038","log10Dref",2.44359723599253
"2039","zT",28.5279825809383
"2040","zRH",212.319390801524
"2041","log10Dref",2.38366624818403
"2042","zT",29.1120897713148
"2043","zRH",290.746822785701
"2044","log10Dref",2.20087329818823
